
Index	Nounce	Data	Hash	Prev. hash	Proof of Work
1	11274224	Anders:join	000000a719a46c522b29b542a9867f2ef5a4b768e0d1bc127935e6e033b46b54	000000a6bd43b24197b74d8d7fde58fbd204f4a3400d59a34bc57b814891649b	true
2	158444	Emmely:join	000000a6bd43b24197b74d8d7fde58fbd204f4a3400d59a34bc57b814891649b	000000ae97adae4fb704e5d0e7d989de4d2793d8467204dd64c00fc5eaad293c	true
3	9188837	Helge:leave	000000ae97adae4fb704e5d0e7d989de4d2793d8467204dd64c00fc5eaad293c	00000052f2722b1535e19b66096a51d93cd873a405e1e04137011755c0b05b00	true
4	18276247	Jens:leave	00000052f2722b1535e19b66096a51d93cd873a405e1e04137011755c0b05b00	0000008e3235d8e7e4a86449f5e0fe388025e28fd490dc41bdadcad6e768c200	true
5	5522261	Daniel:join	0000008e3235d8e7e4a86449f5e0fe388025e28fd490dc41bdadcad6e768c200	000000e749c968a184ec2f095eb6b5a93aad55577fbe394edbf1fe6b9930ce2a	true
6	41034571	Tine:join	000000e749c968a184ec2f095eb6b5a93aad55577fbe394edbf1fe6b9930ce2a	000000ee8690ef231bd4b26fe3a0c7077f568440daf8f4ab7bff19f5c68f76fa	true
7	8994089	Anders:leave	000000ee8690ef231bd4b26fe3a0c7077f568440daf8f4ab7bff19f5c68f76fa	000000030a1f5f81bc4447eedbe9c322a16373153ba673ccbc121b032a837632	true
8	45483944	Kristian:join	000000030a1f5f81bc4447eedbe9c322a16373153ba673ccbc121b032a837632	00000069ea943b0a4611811a353e439c37de9f1e5afc91e6fd0f1819408bf65c	true
9	8082092	Jens:join	00000069ea943b0a4611811a353e439c37de9f1e5afc91e6fd0f1819408bf65c	0000005589315cb3f4bb8f1815eabf3511ca75c26c2c51fb022d94659fa668d2	true
a	2391156	Emmely:leave	0000005589315cb3f4bb8f1815eabf3511ca75c26c2c51fb022d94659fa668d2	0000002a8d817e7fe0168d68bf76a050164c2eeca607b062d3ec0a7468749976	true
b	5469571	Helge:join	0000002a8d817e7fe0168d68bf76a050164c2eeca607b062d3ec0a7468749976	000000cdb4b414a741cec55d447efd5e019c97bbc7bcfebba538fd3045e2bfd1	true
c	20093928	Daniel:leave	000000cdb4b414a741cec55d447efd5e019c97bbc7bcfebba538fd3045e2bfd1	0000005426427005405286d3c408054685bd0985ceb08302d11be217ab5e9946	true
d	68351352	Tine:leave	0000005426427005405286d3c408054685bd0985ceb08302d11be217ab5e9946	0000009459105f378bec19d282133dc508dc1389fe0c1cd021b12123fae63927	true
e	25809744	Kristian:leave	0000009459105f378bec19d282133dc508dc1389fe0c1cd021b12123fae63927	00000042ebe77f6f19c9fa7657fc53cd057a88fa60d8b726b111efd10b2c1762	true
f	12387340	Jens:leave	00000042ebe77f6f19c9fa7657fc53cd057a88fa60d8b726b111efd10b2c1762	0000004756102c846c5489b7db72178ece74fccfac0e528f812663cc5594a6ab	true
10	28142185	Helge:leave	0000004756102c846c5489b7db72178ece74fccfac0e528f812663cc5594a6ab	00000034cb5b26d974bc0d29b2d017bed5d77d80b09801bc92059ad7a496291d	true
11	14607879	Helge:join	00000034cb5b26d974bc0d29b2d017bed5d77d80b09801bc92059ad7a496291d	000000db0520259e0aaf88f51080acb0470ef2b58c7e575d9ddb4800ead63c64	true
12	14301791	Tine:join	000000db0520259e0aaf88f51080acb0470ef2b58c7e575d9ddb4800ead63c64	00000068c01f675b310ba715f8c03c82d3afaed5e982fdef43acb2dc3e8e122f	true
13	3223318	Tine:leave	00000068c01f675b310ba715f8c03c82d3afaed5e982fdef43acb2dc3e8e122f	0000006d047cf603c8b86c93b7635b5b6921ca860e8c93d100b36f440ca4f28c	true
14	13675854	Tine:join	0000006d047cf603c8b86c93b7635b5b6921ca860e8c93d100b36f440ca4f28c	0000009e48803b9264fb7e74b0fae5f6953ac5ab384dbfe7f3dd312bc66f8469	true
15	35586127	Kristian:join	0000009e48803b9264fb7e74b0fae5f6953ac5ab384dbfe7f3dd312bc66f8469	0000000c68c5dc8951a517f8d8c30db7d4435ef8ed440a13dc2759b02f3b33e9	true
16	7538540	Jens:join	0000000c68c5dc8951a517f8d8c30db7d4435ef8ed440a13dc2759b02f3b33e9	000000fdc265050d33d9c7ef0743ae71046518efd5254262e12b0ad1919aca28	true
17	8465216	Emmely:join	000000fdc265050d33d9c7ef0743ae71046518efd5254262e12b0ad1919aca28	0000005f33ad18196780458cbf1e5c4387ce1db35838f523cc59db2a1d584eee	true
18	16709801	Kristian:leave	0000005f33ad18196780458cbf1e5c4387ce1db35838f523cc59db2a1d584eee	00000096f766612b4e9ffdacb4f72b3136450abb5af92cfb2eed65357a43379f	true
19	899082	Jens:leave	00000096f766612b4e9ffdacb4f72b3136450abb5af92cfb2eed65357a43379f	000000bc5f7a2065af1f39d3bc2249dd1a9ccff42cd5e8073e50d9f7c0f4ce29	true
1a	20207088	Tine:leave	000000bc5f7a2065af1f39d3bc2249dd1a9ccff42cd5e8073e50d9f7c0f4ce29	000000070d1df8b1ee04a6411a77c6c6f7fef5bcad37fbbd99724d1d98d96dc8	true
1b	19662824	Daniel:join	000000070d1df8b1ee04a6411a77c6c6f7fef5bcad37fbbd99724d1d98d96dc8	00000036971489a8fe21f51a1add7c3f3da8768a5ac954477e778472508b2679	true
1c	13682346	Emmely:leave	00000036971489a8fe21f51a1add7c3f3da8768a5ac954477e778472508b2679	000000248651aeb10d641fd288839410c49528f75f781eeccc0a46a41fa32b91	true
1d	9176492	Helge:leave	000000248651aeb10d641fd288839410c49528f75f781eeccc0a46a41fa32b91	0000003ac95af6172859671d76b0c6c96016741de336c7076a88fd679c0b933b	true
1e	2862548	Jens:join	0000003ac95af6172859671d76b0c6c96016741de336c7076a88fd679c0b933b	0000008282b3cfd02265db515b16ca03ecfe702440723464babe5853c5b1b4d1	true
1f	1646916	Emmely:join	0000008282b3cfd02265db515b16ca03ecfe702440723464babe5853c5b1b4d1	000000dacaa6dfb6a0562a5a95ae6bfc6559f78b068bba0b4e3ef16caef345d8	true
20	3245977	Daniel:leave	000000dacaa6dfb6a0562a5a95ae6bfc6559f78b068bba0b4e3ef16caef345d8	000000b5e02c26b10344fc9a08abd28a0f1c405496e1a796820931997e1301a3	true
